model,lambda,epsilon,beta
G2,0.6000000000000001,0.25,2.4460541194992063
G2,0.6000000000000001,0.35,1.7709214744749349
G2,0.6000000000000001,0.44999999999999996,1.344377019297382
G2,0.6000000000000001,0.5499999999999999,0.983212638186819
G2,0.6000000000000001,0.65,0.7252712221106311
G2,0.6000000000000001,0.75,0.5230914600071903
G2,0.6000000000000001,0.85,0.3510503522214047
G2,0.6000000000000001,0.95,0.13715762313442142
G2,0.7000000000000001,0.05,6.314139374418641
G2,0.7000000000000001,0.15,3.681008800439728
G2,0.7000000000000001,0.25,2.4956909708974497
G2,0.7000000000000001,0.35,1.8090356881110765
G2,0.7000000000000001,0.44999999999999996,1.3486496587717394
G2,0.7000000000000001,0.5499999999999999,0.983212638186819
G2,0.7000000000000001,0.65,0.7176457710795663
G2,0.7000000000000001,0.75,0.5223910052655498
G2,0.7000000000000001,0.85,0.34734067850176487
G2,0.7000000000000001,0.95,0.13001906425415555
G2,0.8,0.05,6.039187573458703
G2,0.8,0.15,3.5494999071014997
G2,0.8,0.25,2.345171010937251
G2,0.8,0.35,1.7202152307694467
G2,0.8,0.44999999999999996,1.2707301672292743
G2,0.8,0.5499999999999999,0.9005917737811424
G2,0.8,0.65,0.6394350634534833
G2,0.8,0.75,0.44154158272993893
G2,0.8,0.85,0.3072991565265923
G2,0.8,0.95,0.11689085000526835
G2,0.9,0.05,6.076556789381916
G2,0.9,0.15,3.5786029788479636
G2,0.9,0.25,2.355442526120502
G2,0.9,0.35,1.7115387347360276
G2,0.9,0.44999999999999996,1.2627833293664152
G2,0.9,0.5499999999999999,0.8930427620371864
G2,0.9,0.65,0.6279007595927667
G2,0.9,0.75,0.4347854040814243
G2,0.9,0.85,0.2998969305550018
G2,0.9,0.95,0.11114992105583174
G2,1.0,0.05,6.0645530964509975
G2,1.0,0.15,3.5923608846492465
G2,1.0,0.25,2.3880012067668064
G2,1.0,0.35,1.7502890931697581
G2,1.0,0.44999999999999996,1.285846324697398
G2,1.0,0.5499999999999999,0.9468306154440249
G2,1.0,0.65,0.6492674521560104
G2,1.0,0.75,0.4599726702699445
G2,1.0,0.85,0.31371927370878516
G2,1.0,0.95,0.1181188666653746
G2,1.1,0.05,5.989586963662603
G2,1.1,0.15,3.560584057888641
G2,1.1,0.25,2.380137585778993
G2,1.1,0.35,1.747362527252231
G2,1.1,0.44999999999999996,1.2803425518386298
G2,1.1,0.5499999999999999,0.9221123702343854
G2,1.1,0.65,0.6537354291206899
G2,1.1,0.75,0.45800430958303723
G2,1.1,0.85,0.31324879502622627
G2,1.1,0.95,0.11763384476264652
G2,1.2000000000000002,0.05,5.980123225704017
G2,1.2000000000000002,0.15,3.5538979426120854
G2,1.2000000000000002,0.25,2.355442526120502
G2,1.2000000000000002,0.35,1.7387505849692135
G2,1.2000000000000002,0.44999999999999996,1.272891331294176
G2,1.2000000000000002,0.5499999999999999,0.9143216295964445
G2,1.2000000000000002,0.65,0.6459479685495244
G2,1.2000000000000002,0.75,0.4431247645873274
G2,1.2000000000000002,0.85,0.2998969305550018
G2,1.2000000000000002,0.95,0.11358266476308598
G2,1.3,0.05,5.954418023601558
G2,1.3,0.15,3.53771393736436
G2,1.3,0.25,2.3725608812303305
G2,1.3,0.35,1.7359271617960848
G2,1.3,0.44999999999999996,1.272891331294176
G2,1.3,0.5499999999999999,0.9143216295964445
G2,1.3,0.65,0.6434990887807173
G2,1.3,0.75,0.4431247645873274
G2,1.3,0.85,0.2998969305550018
G2,1.3,0.95,0.11170518664127838
G2,1.4000000000000001,0.05,5.989586963662603
G2,1.4000000000000001,0.15,3.5786029788479636
G2,1.4000000000000001,0.25,2.399076708334121
G2,1.4000000000000001,0.35,1.747362527252231
G2,1.4000000000000001,0.44999999999999996,1.2765060212603814
G2,1.4000000000000001,0.5499999999999999,0.9204010485677967
G2,1.4000000000000001,0.65,0.6501908089968104
G2,1.4000000000000001,0.75,0.45173093195033587
G2,1.4000000000000001,0.85,0.3046565869084348
G2,1.4000000000000001,0.95,0.1158482126228332
G2,1.5,0.05,5.88254959275501
G2,1.5,0.15,3.53771393736436
G2,1.5,0.25,2.3935924702150784
G2,1.5,0.35,1.7502890931697581
G2,1.5,0.44999999999999996,1.2765060212603814
G2,1.5,0.5499999999999999,0.9204010485677967
G2,1.5,0.65,0.6564593490677213
G2,1.5,0.75,0.45661493153593813
G2,1.5,0.85,0.3046565869084348
G2,1.5,0.95,0.1158482126228332
G2,1.6,0.05,5.858361146268274
G2,1.6,0.15,3.53771393736436
G2,1.6,0.25,2.404804283111285
G2,1.6,0.35,1.7657233258930067
G2,1.6,0.44999999999999996,1.297144280079114
G2,1.6,0.5499999999999999,0.9300274647842366
G2,1.6,0.65,0.6593047180297766
G2,1.6,0.75,0.4721432878210733
G2,1.6,0.85,0.31324879502622627
G2,1.6,0.95,0.11709677905283983
G2,1.7000000000000002,0.05,5.88254959275501
G2,1.7000000000000002,0.15,3.560584057888641
G2,1.7000000000000002,0.25,2.4286198789644677
G2,1.7000000000000002,0.35,1.7686026561389612
G2,1.7000000000000002,0.44999999999999996,1.302040507419978
G2,1.7000000000000002,0.5499999999999999,0.9439433253271454
G2,1.7000000000000002,0.65,0.6646006384576114
G2,1.7000000000000002,0.75,0.4807230532862984
G2,1.7000000000000002,0.85,0.31371927370878516
G2,1.7000000000000002,0.95,0.11763384476264652
G2,1.8,0.05,5.870882046954442
G2,1.8,0.15,3.5538979426120854
G2,1.8,0.25,2.3998495269367295
G2,1.8,0.35,1.76045762476478
G2,1.8,0.44999999999999996,1.2902656768755199
G2,1.8,0.5499999999999999,0.9408128115763581
G2,1.8,0.65,0.6646006384576114
G2,1.8,0.75,0.47731156012821896
G2,1.8,0.85,0.3126743181160897
G2,1.8,0.95,0.11763384476264652
G2,1.9000000000000001,0.05,5.849335771392588
G2,1.9000000000000001,0.15,3.5538979426120854
G2,1.9000000000000001,0.25,2.415105510345167
G2,1.9000000000000001,0.35,1.7629580391212785
G2,1.9000000000000001,0.44999999999999996,1.2803425518386298
G2,1.9000000000000001,0.5499999999999999,0.9387088561326172
G2,1.9000000000000001,0.65,0.6681426132502919
G2,1.9000000000000001,0.75,0.47731156012821896
G2,1.9000000000000001,0.85,0.31216198093104774
G2,1.9000000000000001,0.95,0.11763384476264652
G2,2.0,0.05,5.817087953076151
G2,2.0,0.15,3.5174465787352944
G2,2.0,0.25,2.3935924702150784
G2,2.0,0.35,1.7387505849692135
G2,2.0,0.44999999999999996,1.2707152395708043
G2,2.0,0.5499999999999999,0.9212108812185076
G2,2.0,0.65,0.6593047180297766
G2,2.0,0.75,0.4721432878210733
G2,2.0,0.85,0.3081740698628286
G2,2.0,0.95,0.11709677905283983
